"Issue Type","Summary","Epic Name","Epic Link","Story Points","Sprint","Labels","Description","Acceptance Criteria"
"Epic","WIN-EPIC-7: Windows Sandbox Backend","WIN-EPIC-7: Windows Sandbox Backend","","","","windows-port;full-port;security;backend","Goal: replace preview classification and intentional blocking with real Windows enforcement.",""
"Story","WIN-701: Finalize Windows security model","","WIN-EPIC-7: Windows Sandbox Backend","5","Sprint 3","windows-port;full-port;security;backend;needs-architecture","Finalize the Windows enforcement model and write down what functionally equivalent Windows security means for this product.","- chosen Windows enforcement primitives are documented
- capability mapping is explicit for filesystem, network, process, IPC, and child lifecycle controls
- unsupported semantics are identified before implementation starts
- the meaning of functionally equivalent Windows security is written down"
"Story","WIN-702: Implement process containment primitives","","WIN-EPIC-7: Windows Sandbox Backend","8","Sprint 3","windows-port;full-port;security;backend","Implement Windows child-process containment primitives as the first enforced runtime slice.","- Windows child processes launch inside the chosen containment model
- parent/child lifetime rules are enforceable
- orphaned-process behavior is deterministic
- tests cover process lifecycle and containment failure paths"
"Story","WIN-703: Implement filesystem restriction backend","","WIN-EPIC-7: Windows Sandbox Backend","13","Sprint 3;Sprint 4","windows-port;full-port;security;backend;filesystem","Implement the Windows filesystem restriction backend for supported allowlist behavior.","- Windows enforces a supported subset of allowlist path restrictions
- denied paths fail deterministically
- protected paths remain blocked
- capability-to-policy mapping is documented and tested"
"Story","WIN-704: Implement network enforcement backend","","WIN-EPIC-7: Windows Sandbox Backend","13","Sprint 4","windows-port;full-port;security;backend;network","Implement real Windows network enforcement for restricted live runs in the first full-port release.","- live network restriction requests are truly enforced on Windows
- allow-all vs restricted network modes are distinct in runtime behavior
- blocked connections fail intentionally
- the implementation is documented and testable"
"Story","WIN-705: Return deterministic unsupported results for non-mapped capabilities","","WIN-EPIC-7: Windows Sandbox Backend","5","Sprint 4","windows-port;full-port;security;backend","Ensure every unsupported or deferred capability returns an intentional result rather than advisory-only success.","- each capability class reports supported, blocked, or deferred intentionally
- no silent advisory-only success remains in live restricted execution
- CLI messaging reflects backend reality"
"Story","WIN-706: Wire enforced backend into live run path","","WIN-EPIC-7: Windows Sandbox Backend","8","Sprint 4;Sprint 5","windows-port;full-port;security;backend;cli-runtime","Connect the real Windows sandbox backend to the live Windows run path.","- live restricted runs use the real Windows backend
- supported restrictions execute successfully
- unsupported restrictions fail clearly
- call paths are test-covered"
"Epic","WIN-EPIC-8: Supervisor Parity and Execution Hardening","WIN-EPIC-8: Supervisor Parity and Execution Hardening","","","","windows-port;full-port;supervisor;security","Goal: replace the current Windows supervisor scaffold with a real supervised runtime.",""
"Story","WIN-801: Implement Windows supervisor event loop","","WIN-EPIC-8: Windows Supervisor Parity and Execution Hardening","13","Sprint 5","windows-port;full-port;supervisor;security","Implement the parent event loop for supervised Windows execution.","- the parent event loop runs on Windows
- startup and shutdown are stable
- supervisor diagnostics are actionable"
"Story","WIN-802: Replace Unix fd-passing assumptions with Windows handle brokering","","WIN-EPIC-8: Windows Supervisor Parity and Execution Hardening","13","Sprint 5;Sprint 6","windows-port;full-port;supervisor;security;ipc","Replace Unix fd-passing assumptions with Windows-safe handle brokering for supervised flows.","- approved resources can be shared using Windows-safe handle transfer
- no Unix socket or SCM_RIGHTS dependency remains in supervised Windows flows
- transfer failure modes are testable"
